time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-04-09T00:22:13.798Z,59.963,-139.3926,0,1.7,ml,,,,0.63,ak,ak15706524,2017-04-09T00:26:39.379Z,"50km NNE of Yakutat, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-04-09T00:14:30.670Z,-52.2065,139.6092,10,5.4,mb,,72,10.653,0.67,us,us10008fye,2017-04-09T00:31:54.040Z,"West of Macquarie Island",earthquake,6.4,1.9,0.07,70,reviewed,us,us
2017-04-08T23:46:20.638Z,64.4846,-149.4052,18.4,0.9,ml,,,,0.33,ak,ak15706321,2017-04-08T23:52:53.783Z,"17km SW of North Nenana, Alaska",earthquake,,0.1,,,automatic,ak,ak
2017-04-08T23:38:55.613Z,61.7204,-149.8034,44.3,1.1,ml,,,,0.44,ak,ak15706320,2017-04-08T23:44:01.821Z,"10km N of Houston, Alaska",earthquake,,1.3,,,automatic,ak,ak
2017-04-08T23:36:23.741Z,64.298,-147.5469,6.8,1,ml,,,,0.64,ak,ak15706318,2017-04-08T23:40:51.070Z,"40km SW of Salcha, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-04-08T23:35:09.480Z,18.2942,-81.5808,10,4.1,mb,,73,3.845,0.9,us,us10008fy7,2017-04-09T02:10:37.133Z,"112km SSW of George Town, Cayman Islands",earthquake,7.8,2,0.15,12,reviewed,us,us
2017-04-08T23:24:54.180Z,47.4738333,-122.857,22.95,1.15,ml,5,161,0.08764,0.04,uw,uw61269121,2017-04-09T02:38:30.130Z,"3km NW of Belfair, Washington",earthquake,0.6,0.83,0.181,3,reviewed,uw,uw
2017-04-08T23:22:33.300Z,18.9146,-65.486,28,2.8,Md,3,309.6,0.63331228,0.21,pr,pr17098007,2017-04-09T04:07:25.501Z,"64km NNE of Luquillo, Puerto Rico",earthquake,2.3,14.8,0,1,reviewed,pr,pr
2017-04-08T23:15:58.390Z,67.4491,-147.7243,0.1,2.3,ml,,,,0.84,ak,ak15706312,2017-04-08T23:27:28.662Z,"107km ENE of Coldfoot, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-04-08T23:10:50.430Z,43.7765,-71.3678,2.33,1.6,ml,,146,0.1,0.32,us,us10008fzm,2017-04-09T05:10:26.040Z,"3km NE of Moultonborough, New Hampshire",earthquake,1.6,4.5,0.105,12,reviewed,us,us
2017-04-08T23:07:08.260Z,38.6008339,-122.7963333,6.72,1.67,md,11,135,0.07632,0.03,nc,nc72786526,2017-04-09T02:07:02.572Z,"6km NNE of Windsor, California",earthquake,0.33,0.85,0.18,9,automatic,nc,nc
2017-04-08T23:04:50.250Z,38.5994987,-122.7910004,8.42,1.43,md,10,147,0.07232,0.02,nc,nc72786521,2017-04-09T01:42:02.534Z,"6km NNE of Windsor, California",earthquake,0.3,0.54,0.2,9,automatic,nc,nc
2017-04-08T23:00:50.250Z,38.7986679,-122.7409973,1.59,0.89,md,11,102,0.01577,0.02,nc,nc72786516,2017-04-09T01:16:03.486Z,"2km NNE of The Geysers, California",earthquake,0.29,0.63,0.04,4,automatic,nc,nc
2017-04-08T22:44:05.080Z,35.7195015,-120.2621689,14.69,1.27,md,9,173,0.04309,0.21,nc,nc72786511,2017-04-09T00:48:02.436Z,"12km NE of Shandon, California",earthquake,3.05,2.68,0.13,4,automatic,nc,nc
2017-04-08T22:39:35.250Z,19.7789993,-155.0939941,44.82,2.4,md,35,201,0.1034,0.24,hv,hv61685696,2017-04-08T22:42:51.180Z,"1km S of Papa'ikou, Hawaii",earthquake,0.91,1.17,0.08,5,automatic,hv,hv
2017-04-08T22:34:28.940Z,38.831665,-122.8001633,1.75,0.88,md,13,57,0.01021,0.02,nc,nc72786506,2017-04-09T00:22:02.473Z,"6km W of Cobb, California",earthquake,0.26,0.7,0.01,3,automatic,nc,nc
2017-04-08T22:32:42.224Z,61.2303,-148.9088,19.6,2.1,ml,,,,0.64,ak,ak15706107,2017-04-09T15:22:25.785Z,"35km S of Butte, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-04-08T22:23:12.580Z,51.5704,16.1913,11.14,4.3,mb,,38,1.991,1.38,us,us10008fxp,2017-04-09T06:19:25.189Z,"3km SSE of Grebocice, Poland",earthquake,5.4,6,0.188,8,reviewed,us,us
2017-04-08T22:20:14.150Z,37.5413,141.5045,42.7,4.8,mwr,,127,0.654,0.97,us,us10008fxn,2017-04-09T04:47:18.424Z,"45km E of Namie, Japan",earthquake,6,5.6,0.06,27,reviewed,us,us
